"county","tract","blockgroup","state","puma22","stab","CountyName","PUMA22name","pop20","afact"
"County code","Tract","Block group","State code","PUMA (2022)","State abbr.","County name","PUMA22 name","Total population (2020 Census)","blockgroup-to-puma22 allocation factor"
"06097","1530.01","2","06","09705","CA","Sonoma CA","Sonoma County (Central)--Santa Rosa City (West)",1926,1 
"06097","1530.01","3","06","09705","CA","Sonoma CA","Sonoma County (Central)--Santa Rosa City (West)",1923,1 
"06097","1530.01","4","06","09705","CA","Sonoma CA","Sonoma County (Central)--Santa Rosa City (West)",1958,1 
"06097","1530.02","1","06","09705","CA","Sonoma CA","Sonoma County (Central)--Santa Rosa City (West)",1990,1 
"06097","1530.02","2","06","09705","CA","Sonoma CA","Sonoma County (Central)--Santa Rosa City (West)",1870,1 
"06097","1530.02","3","06","09705","CA","Sonoma CA","Sonoma County (Central)--Santa Rosa City (West)",879,1 
"06097","1530.02","4","06","09705","CA","Sonoma CA","Sonoma County (Central)--Santa Rosa City (West)",1029,1 
"06097","1530.02","5","06","09705","CA","Sonoma CA","Sonoma County (Central)--Santa Rosa City (West)",810,1 
"06097","1530.03","1","06","09705","CA","Sonoma CA","Sonoma County (Central)--Santa Rosa City (West)",1015,1 
"06097","1530.03","2","06","09705","CA","Sonoma CA","Sonoma County (Central)--Santa Rosa City (West)",964,1 
"06097","1530.03","3","06","09705","CA","Sonoma CA","Sonoma County (Central)--Santa Rosa City (West)",1910,1 
"06097","1530.03","4","06","09705","CA","Sonoma CA","Sonoma County (Central)--Santa Rosa City (West)",1945,1 
"06097","1530.05","1","06","09705","CA","Sonoma CA","Sonoma County (Central)--Santa Rosa City (West)",965,1 
"06097","1530.05","2","06","09705","CA","Sonoma CA","Sonoma County (Central)--Santa Rosa City (West)",650,1 
"06097","1530.05","3","06","09705","CA","Sonoma CA","Sonoma County (Central)--Santa Rosa City (West)",1312,1 
"06097","1530.05","4","06","09705","CA","Sonoma CA","Sonoma County (Central)--Santa Rosa City (West)",903,1 
"06097","1530.05","5","06","09705","CA","Sonoma CA","Sonoma County (Central)--Santa Rosa City (West)",1787,1 
"06097","1530.05","6","06","09705","CA","Sonoma CA","Sonoma County (Central)--Santa Rosa City (West)",997,1 
"06097","1530.06","1","06","09705","CA","Sonoma CA","Sonoma County (Central)--Santa Rosa City (West)",662,1 
"06097","1530.06","2","06","09705","CA","Sonoma CA","Sonoma County (Central)--Santa Rosa City (West)",819,1 
"06097","1530.06","3","06","09705","CA","Sonoma CA","Sonoma County (Central)--Santa Rosa City (West)",1588,1 
"06097","1530.06","4","06","09705","CA","Sonoma CA","Sonoma County (Central)--Santa Rosa City (West)",2203,1 
"06097","1530.06","5","06","09705","CA","Sonoma CA","Sonoma County (Central)--Santa Rosa City (West)",1009,1 
"06097","1530.06","6","06","09705","CA","Sonoma CA","Sonoma County (Central)--Santa Rosa City (West)",1062,1 
"06097","1531.02","1","06","09705","CA","Sonoma CA","Sonoma County (Central)--Santa Rosa City (West)",1330,1 
"06097","1531.02","2","06","09705","CA","Sonoma CA","Sonoma County (Central)--Santa Rosa City (West)",1780,1 
"06097","1531.02","3","06","09705","CA","Sonoma CA","Sonoma County (Central)--Santa Rosa City (West)",1523,1 
"06097","1531.02","4","06","09705","CA","Sonoma CA","Sonoma County (Central)--Santa Rosa City (West)",933,1 
"06097","1531.03","1","06","09705","CA","Sonoma CA","Sonoma County (Central)--Santa Rosa City (West)",2312,1 
"06097","1531.03","2","06","09705","CA","Sonoma CA","Sonoma County (Central)--Santa Rosa City (West)",1598,1 
"06097","1531.03","3","06","09705","CA","Sonoma CA","Sonoma County (Central)--Santa Rosa City (West)",950,1 
"06097","1531.04","1","06","09705","CA","Sonoma CA","Sonoma County (Central)--Santa Rosa City (West)",2147,1 
"06097","1531.04","2","06","09705","CA","Sonoma CA","Sonoma County (Central)--Santa Rosa City (West)",861,1 
"06097","1531.04","3","06","09705","CA","Sonoma CA","Sonoma County (Central)--Santa Rosa City (West)",1085,1 
"06097","1532.01","1","06","09705","CA","Sonoma CA","Sonoma County (Central)--Santa Rosa City (West)",2620,1 
"06097","1532.01","2","06","09705","CA","Sonoma CA","Sonoma County (Central)--Santa Rosa City (West)",2085,1 
"06097","1532.02","1","06","09705","CA","Sonoma CA","Sonoma County (Central)--Santa Rosa City (West)",917,1 
"06097","1532.02","2","06","09705","CA","Sonoma CA","Sonoma County (Central)--Santa Rosa City (West)",2117,1 
"06097","1532.02","3","06","09705","CA","Sonoma CA","Sonoma County (Central)--Santa Rosa City (West)",876,1 
"06097","1533.01","1","06","09705","CA","Sonoma CA","Sonoma County (Central)--Santa Rosa City (West)",1039,1 
"06097","1533.01","2","06","09705","CA","Sonoma CA","Sonoma County (Central)--Santa Rosa City (West)",1510,1 
"06097","1533.01","3","06","09705","CA","Sonoma CA","Sonoma County (Central)--Santa Rosa City (West)",3040,1 
"06097","1533.01","4","06","09705","CA","Sonoma CA","Sonoma County (Central)--Santa Rosa City (West)",1033,1 
"06097","1533.02","1","06","09705","CA","Sonoma CA","Sonoma County (Central)--Santa Rosa City (West)",1893,1 
"06097","1533.02","2","06","09705","CA","Sonoma CA","Sonoma County (Central)--Santa Rosa City (West)",2411,1 
"06097","1533.02","3","06","09705","CA","Sonoma CA","Sonoma County (Central)--Santa Rosa City (West)",1307,1 
"06097","1534.03","1","06","09704","CA","Sonoma CA","Sonoma County (North)--Windsor Town, Healdsburg & Cloverdale Cities",1234,1 
"06097","1534.03","2","06","09704","CA","Sonoma CA","Sonoma County (North)--Windsor Town, Healdsburg & Cloverdale Cities",1262,1 
"06097","1534.03","3","06","09704","CA","Sonoma CA","Sonoma County (North)--Windsor Town, Healdsburg & Cloverdale Cities",736,1 
"06097","1534.03","4","06","09704","CA","Sonoma CA","Sonoma County (North)--Windsor Town, Healdsburg & Cloverdale Cities",778,1 
"06097","1534.04","1","06","09704","CA","Sonoma CA","Sonoma County (North)--Windsor Town, Healdsburg & Cloverdale Cities",852,1 
"06097","1534.04","2","06","09704","CA","Sonoma CA","Sonoma County (North)--Windsor Town, Healdsburg & Cloverdale Cities",1176,1 
"06097","1534.04","3","06","09704","CA","Sonoma CA","Sonoma County (North)--Windsor Town, Healdsburg & Cloverdale Cities",817,1 
"06097","1534.04","4","06","09704","CA","Sonoma CA","Sonoma County (North)--Windsor Town, Healdsburg & Cloverdale Cities",1249,1 
"06097","1534.05","1","06","09704","CA","Sonoma CA","Sonoma County (North)--Windsor Town, Healdsburg & Cloverdale Cities",1348,1 
"06097","1534.05","2","06","09704","CA","Sonoma CA","Sonoma County (North)--Windsor Town, Healdsburg & Cloverdale Cities",1075,1 
"06097","1534.05","3","06","09704","CA","Sonoma CA","Sonoma County (North)--Windsor Town, Healdsburg & Cloverdale Cities",1090,1 
"06097","1534.06","1","06","09704","CA","Sonoma CA","Sonoma County (North)--Windsor Town, Healdsburg & Cloverdale Cities",706,1 
"06097","1534.06","2","06","09704","CA","Sonoma CA","Sonoma County (North)--Windsor Town, Healdsburg & Cloverdale Cities",882,1 
"06097","1534.06","3","06","09704","CA","Sonoma CA","Sonoma County (North)--Windsor Town, Healdsburg & Cloverdale Cities",1074,1 
"06097","1535.01","1","06","09704","CA","Sonoma CA","Sonoma County (North)--Windsor Town, Healdsburg & Cloverdale Cities",1019,1 
"06097","1535.01","2","06","09704","CA","Sonoma CA","Sonoma County (North)--Windsor Town, Healdsburg & Cloverdale Cities",1085,1 
"06097","1535.01","3","06","09704","CA","Sonoma CA","Sonoma County (North)--Windsor Town, Healdsburg & Cloverdale Cities",1059,1 
"06097","1535.01","4","06","09704","CA","Sonoma CA","Sonoma County (North)--Windsor Town, Healdsburg & Cloverdale Cities",1342,1 
"06097","1535.02","1","06","09704","CA","Sonoma CA","Sonoma County (North)--Windsor Town, Healdsburg & Cloverdale Cities",796,1 
"06097","1535.02","2","06","09704","CA","Sonoma CA","Sonoma County (North)--Windsor Town, Healdsburg & Cloverdale Cities",621,1 
"06097","1535.02","3","06","09704","CA","Sonoma CA","Sonoma County (North)--Windsor Town, Healdsburg & Cloverdale Cities",949,1 
